,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
188,CPA,"Copa Holdings, S.A.",4.34B,0.37%,156945,2.97B
189,ERJ,Embraer S.A.,4.25B,0.64%,4466314,4.54B
190,AVAV,"AeroVironment, Inc.",4.18B,-2.85%,551960,705.78M
191,DY,"Dycom Industries, Inc.",4.16B,-1.94%,247194,4.18B
192,EXPO,"Exponent, Inc.",4.00B,-0.40%,354066,536.77M
193,SNDR,"Schneider National, Inc.",3.97B,-3.50%,962235,5.50B
194,ACA,"Arcosa, Inc.",3.96B,-1.03%,151420,2.31B
195,TEX,Terex Corporation,3.96B,-0.39%,670682,5.15B
196,VRRM,Verra Mobility Corporation,3.91B,0.81%,944654,817.31M
197,CAR,"Avis Budget Group, Inc.",3.82B,0.39%,666112,12.01B
198,CAAP,Corporación América Airports S.A.,3.79B,2.10%,93082,1.65B
199,CBZ,"CBIZ, Inc.",3.76B,1.09%,479778,1.59B
200,GMS,GMS Inc.,3.76B,-0.15%,429154,5.39B
201,BCO,The Brink's Company,3.75B,0.86%,134066,4.87B
202,SPR,"Spirit AeroSystems Holdings, Inc.",3.75B,0.84%,1732485,6.05B
203,OMAB,"Grupo Aeroportuario del Centro Norte, SAB de CV",3.73B,-0.93%,19285,612.67M
204,KAI,Kadant Inc.,3.72B,-0.50%,126989,957.67M
205,ENS,EnerSys,3.69B,-1.59%,142107,3.66B
206,NSP,"Insperity, Inc.",3.67B,0.52%,343393,6.49B
207,MATX,"Matson, Inc.",3.63B,-2.66%,188013,3.09B
208,CSWI,"CSW Industrials, Inc.",3.61B,0.16%,127682,777.67M
209,AEIS,"Advanced Energy Industries, Inc.",3.57B,-0.40%,161403,1.66B
210,JOBY,"Joby Aviation, Inc.",3.57B,0.79%,3653448,1.23M
211,ATS,ATS Corporation,3.56B,-1.07%,81765,2.20B
212,WIRE,Encore Wire Corporation,3.56B,1.79%,160615,2.57B
213,MAN,ManpowerGroup Inc.,3.52B,1.13%,464060,18.91B
214,CXT,"Crane NXT, Co.",3.49B,-0.21%,374493,1.39B
215,GFF,Griffon Corporation,3.48B,-0.84%,281592,2.68B
216,HI,"Hillenbrand, Inc.",3.38B,-1.08%,263688,2.94B
217,STRL,"Sterling Infrastructure, Inc.",3.32B,-0.57%,292014,1.97B
218,KFY,Korn Ferry,3.31B,1.12%,363521,2.83B
219,REZI,"Resideo Technologies, Inc.",3.29B,-1.72%,1116423,6.24B
220,CRS,Carpenter Technology Corporation,3.26B,-0.38%,309218,2.72B
221,NPO,"EnPro Industries, Inc.",3.26B,-0.86%,76324,1.06B
222,ENOV,Enovis Corporation,3.24B,-1.11%,272799,1.71B
223,JBT,John Bean Technologies Corporation,3.24B,-2.64%,137502,1.66B
224,UNF,UniFirst Corporation,3.18B,-1.14%,41623,2.28B
225,WOR,"Worthington Industries, Inc.",3.17B,-0.28%,363884,4.61B
226,SEB,Seaboard Corporation,3.09B,1.19%,2872,9.56B
227,HAYW,"Hayward Holdings, Inc.",3.06B,-0.49%,932059,992.45M
228,ARCB,ArcBest Corporation,3.02B,-2.58%,236310,4.43B
229,MGRC,McGrath RentCorp,2.93B,-0.25%,213602,831.84M
230,DOOR,Masonite International Corporation,2.87B,-0.02%,661091,2.83B
231,ICFI,"ICF International, Inc.",2.87B,-0.95%,73572,1.96B
232,BRC,Brady Corporation,2.82B,-0.75%,342371,1.34B
233,ROAD,"Construction Partners, Inc.",2.72B,-0.37%,147872,1.62B
234,ABM,ABM Industries Incorporated,2.68B,1.16%,652858,8.17B
235,SKYW,"SkyWest, Inc.",2.67B,-1.25%,590018,2.94B
236,MYRG,MYR Group Inc.,2.63B,-1.25%,62026,3.64B
237,HUBG,"Hub Group, Inc.",2.59B,-1.02%,451550,4.20B
238,GOGL,Golden Ocean Group Limited,2.58B,1.17%,1519581,885.77M
239,KTOS,"Kratos Defense & Security Solutions, Inc.",2.55B,-0.58%,801300,1.04B
240,ALG,Alamo Group Inc.,2.47B,-1.41%,40031,1.69B
241,LZ,"LegalZoom.com, Inc.",2.45B,-0.23%,772763,660.73M
242,MWA,"Mueller Water Products, Inc.",2.41B,0.06%,796298,1.22B
243,PGTI,"PGT Innovations, Inc.",2.40B,0.10%,954431,1.50B
244,GVA,Granite Construction Incorporated,2.39B,-0.57%,217736,3.51B
245,JBLU,JetBlue Airways Corporation,2.39B,-1.42%,17094819,9.62B
246,WERN,"Werner Enterprises, Inc.",2.38B,-1.22%,568226,3.28B
247,ROCK,"Gibraltar Industries, Inc.",2.33B,-1.02%,136482,1.38B
248,MIR,"Mirion Technologies, Inc.",2.33B,2.62%,1438534,800.90M
249,RXO,"RXO, Inc.",2.33B,-0.65%,718538,3.93B
250,HTZ,"Hertz Global Holdings, Inc.",2.31B,-6.20%,8525371,9.37B
251,FA,First Advantage Corporation,2.30B,-0.25%,440083,763.76M
252,PLUG,Plug Power Inc.,2.28B,-2.40%,25852575,891.34M
253,ATMU,Atmus Filtration Technologies Inc.,2.23B,2.72%,6117081,1.63B
254,AIR,AAR Corp.,2.23B,0.14%,282233,2.17B
255,JBI,"Janus International Group, Inc.",2.16B,-0.88%,1051385,1.07B
256,PRIM,Primoris Services Corporation,2.16B,-0.15%,377638,5.72B
257,SXI,Standex International Corporation,2.14B,-1.05%,77743,735.83M
258,TRN,"Trinity Industries, Inc.",2.13B,-0.62%,545023,2.98B
259,TNC,Tennant Company,2.12B,-1.17%,123197,1.24B
260,HEES,"H&E Equipment Services, Inc.",2.11B,1.10%,167824,1.47B
261,BE,Bloom Energy Corporation,2.08B,5.62%,6001994,1.33B
262,IESC,"IES Holdings, Inc.",2.07B,0.85%,90365,2.44B
263,HNI,HNI Corporation,2.05B,-0.34%,221447,2.43B
264,ENR,"Energizer Holdings, Inc.",2.02B,-0.14%,530128,2.91B
265,RKLB,"Rocket Lab USA, Inc.",2.02B,-2.91%,12406140,244.59M
266,SBLK,Star Bulk Carriers Corp.,1.99B,2.24%,1386212,949.27M
267,HLMN,Hillman Solutions Corp.,1.93B,-0.61%,721745,1.48B
268,POWL,"Powell Industries, Inc.",1.93B,-4.48%,381909,766.47M
269,KMT,Kennametal Inc.,1.90B,-2.17%,656785,2.07B
270,EPAC,Enerpac Tool Group Corp.,1.86B,0.23%,219080,600.79M
271,UP,Wheels Up Experience Inc.,1.85B,-3.76%,653918,1.25B
272,B,Barnes Group Inc.,1.85B,-0.36%,213991,1.45B
273,AZZ,AZZ Inc.,1.82B,-0.33%,115304,1.51B
274,CODI,Compass Diversified,1.76B,-1.15%,117442,2.06B
275,SFL,SFL Corporation Ltd.,1.76B,0.86%,561876,752.29M
276,HURN,Huron Consulting Group Inc.,1.76B,-2.27%,164442,1.40B
277,MRCY,"Mercury Systems, Inc.",1.71B,-1.67%,507415,895.17M
278,GIC,Global Industrial Company,1.70B,0.18%,67398,1.27B
279,GEO,"The GEO Group, Inc.",1.66B,-2.13%,2214504,2.41B
280,UPWK,Upwork Inc.,1.64B,0.84%,2533235,689.14M
281,ULCC,"Frontier Group Holdings, Inc.",1.62B,-2.28%,1187522,3.59B
282,JELD,"JELD-WEN Holding, Inc.",1.60B,-0.65%,254786,4.30B
283,DSGR,"Distribution Solutions Group, Inc.",1.58B,-2.02%,46748,1.57B
284,HOLI,Hollysys Automation Technologies Ltd.,1.57B,-0.04%,190225,786.22M
285,ACHR,Archer Aviation Inc.,1.56B,-2.99%,7451763,-
286,BBU,Brookfield Business Partners L.P.,1.55B,1.09%,21283,55.07B
287,NVEE,"NV5 Global, Inc.",1.55B,-0.10%,38679,861.74M
288,MRTN,"Marten Transport, Ltd.",1.51B,-2.64%,330945,1.13B
289,GBX,"The Greenbrier Companies, Inc.",1.51B,-1.53%,164305,3.99B
290,EVEX,"Eve Holding, Inc.",1.46B,-,42340,-
291,SCS,Steelcase Inc.,1.46B,-0.31%,517353,3.19B
292,NSSC,"Napco Security Technologies, Inc.",1.43B,-1.56%,355703,177.41M
293,PRG,"PROG Holdings, Inc.",1.41B,0.87%,188965,2.41B
294,HLIO,"Helios Technologies, Inc.",1.40B,1.80%,107571,835.60M
295,VVX,"V2X, Inc.",1.38B,-0.54%,69245,3.96B
296,CDLR,Cadeler A/S,1.36B,-1.77%,55371,-
297,DAC,Danaos Corporation,1.36B,0.03%,81987,973.58M
298,KFRC,Kforce Inc.,1.34B,-0.16%,93162,1.53B
299,ENVX,Enovix Corporation,1.32B,-6.51%,8765005,7.64M
300,CMRE,Costamare Inc.,1.32B,-0.45%,306143,1.51B
301,CDRE,"Cadre Holdings, Inc.",1.31B,-0.35%,261496,482.53M
302,KAMN,Kaman Corporation,1.30B,0.15%,227774,775.85M
303,FLYX,"flyExclusive, Inc.",1.29B,0.36%,23186,497.41M
304,CTOS,"Custom Truck One Source, Inc.",1.29B,-,392840,1.87B
305,NMM,Navios Maritime Partners L.P.,1.28B,2.53%,135371,1.35B
306,LNN,Lindsay Corporation,1.27B,-2.47%,63352,659.28M
307,WNC,Wabash National Corporation,1.27B,1.96%,572928,2.54B
308,APOG,"Apogee Enterprises, Inc.",1.26B,0.23%,88368,1.40B
309,ALGT,Allegiant Travel Company,1.24B,-0.16%,184905,2.51B
310,CMCO,Columbus McKinnon Corporation,1.20B,-0.60%,127899,1.00B
311,VSEC,VSE Corporation,1.20B,-0.20%,77993,860.49M
312,NX,Quanex Building Products Corporation,1.19B,-0.61%,211901,1.11B
313,ASPN,"Aspen Aerogels, Inc.",1.19B,0.92%,675405,238.72M
314,ARLO,"Arlo Technologies, Inc.",1.18B,-0.41%,933982,491.18M
315,ZIM,ZIM Integrated Shipping Services Ltd.,1.15B,0.95%,3887121,5.16B
316,ZIP,"ZipRecruiter, Inc.",1.14B,1.39%,376764,645.72M
317,AMRC,"Ameresco, Inc.",1.11B,-1.13%,320159,1.37B
318,MEG,"Montrose Environmental Group, Inc.",1.11B,-3.01%,206616,624.21M
